,Entry,Protein,Protein name,Gene names,Gene names (primary),yourlist
18,A0A075B6P0,A0A075B6P0,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",NDUFAF6,NDUFAF6,A0A075B6P0
19,A0A075B6Q5,HV364,Immunoglobulin heavy variable 3-64,IGHV3-64,IGHV3-64,A0A075B6Q5
20,A0A075B6R2,HV404,Immunoglobulin heavy variable 4-4,IGHV4-4,IGHV4-4,A0A075B6R2
21,A0A075B6R9,KVD24,Probable non-functional immunoglobulin kappa variable 2D-24,IGKV2D-24,IGKV2D-24,A0A075B6R9
22,A0A075B6S2,KVD29,Immunoglobulin kappa variable 2D-29,IGKV2D-29,IGKV2D-29,A0A075B6S2
23,P06310,KV230,Immunoglobulin kappa variable 2-30 (Ig kappa chain V-II region RPMI 6410),IGKV2-30,IGKV2-30,A0A075B6S3
24,A0A075B6S5,KV127,Immunoglobulin kappa variable 1-27,IGKV1-27,IGKV1-27,A0A075B6S5
25,A0A075B730,A0A075B730,Epiplakin,EPPK1,EPPK1,A0A075B730
26,A0A075B759,PAL4E,Peptidyl-prolyl cis-trans isomerase A-like 4E (PPIase A-like 4E) (EC 5.2.1.8),PPIAL4E,PPIAL4E,A0A075B759
27,A0A075B767,PAL4H,Peptidyl-prolyl cis-trans isomerase A-like 4H (PPIase A-like 4H) (EC 5.2.1.8),PPIAL4H,PPIAL4H,A0A075B767
28,A0A075B7B1,A0A075B7B1,"Desmuslin, isoform CRA_a (Synemin)",SYNM DMN hCG_28262,SYNM,A0A075B7B1
29,A0A075B7B8,A0A075B7B8,Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment),IGHV3OR16-12,IGHV3OR16-12,A0A075B7B8
30,A0A075B7F0,A0A075B7F0,Immunoglobulin heavy variable 3/OR16-10 (non-functional) (Fragment),IGHV3OR16-10,IGHV3OR16-10,A0A075B7F0
31,A0A075B7G8,A0A075B7G8,Amyloid beta precursor protein-binding family B member 1,APBB1,APBB1,A0A075B7G8
32,A0A087WSV7,A0A087WSV7,Zinc finger protein 404,ZNF404,ZNF404,A0A087WSV7
33,A0A087WSY6,KVD15,Immunoglobulin kappa variable 3D-15,IGKV3D-15,IGKV3D-15,A0A087WSY6
34,A0A087WSZ7,A0A087WSZ7,Phosphodiesterase (EC 3.1.4.-),PDE4D,PDE4D,A0A087WSZ7
35,A0A087WT12,A0A087WT12,Glutathione peroxidase,GPX4,GPX4,A0A087WT12
36,A0A087WT18,A0A087WT18,Putative monooxygenase p33MONOX,KIAA1191,KIAA1191,A0A087WT18
37,A0A087WT30,A0A087WT30,NOP protein chaperone 1,NOPCHAP1,NOPCHAP1,A0A087WT30
38,A0A087WT35,A0A087WT35,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta (Fragment),PIP4K2B,PIP4K2B,A0A087WT35
39,A0A087WT44,A0A087WT44,Heme oxygenase (biliverdin-producing) (EC 1.14.14.18),HMOX2,HMOX2,A0A087WT44
40,A0A087WT53,A0A087WT53,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",MAGI1,MAGI1,A0A087WT53
41,A0A087WT90,A0A087WT90,"39S ribosomal protein L46, mitochondrial",MRPL46,MRPL46,A0A087WT90
42,A0A087WT92,A0A087WT92,Late endosomal/lysosomal adaptor and MAPK and MTOR activator 4 (Ragulator complex protein LAMTOR4),LAMTOR4,LAMTOR4,A0A087WT92
43,A0A087WTA5,A0A087WTA5,Translation initiation factor eIF-2B subunit delta,EIF2B4,EIF2B4,A0A087WTA5
44,A0A087WTA8,A0A087WTA8,Collagen alpha-2(I) chain,COL1A2,COL1A2,A0A087WTA8
45,A0A087WTB8,A0A087WTB8,Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12),UCHL3 hCG_29571,UCHL3,A0A087WTB8
46,A0A087WTC8,A0A087WTC8,"Hydroxyacyl-thioester dehydratase type 2, mitochondrial (Fragment)",HTD2,HTD2,A0A087WTC8
47,A0A087WTE6,A0A087WTE6,SRC kinase-signaling inhibitor 1 (Fragment),SRCIN1,SRCIN1,A0A087WTE6
48,A0A087WTF1,A0A087WTF1,Centromere protein P,CENPP,CENPP,A0A087WTF1
49,A0A087WTF3,A0A087WTF3,Ankyrin-3 (Fragment),ANK3,ANK3,A0A087WTF3
50,A0A087WTI1,A0A087WTI1,Deleted.,,,A0A087WTI1
51,A0A087WTJ2,A0A087WTJ2,GIMAP1-GIMAP5 readthrough,GIMAP1-GIMAP5,GIMAP1-GIMAP5,A0A087WTJ2
52,A0A087WTL3,A0A087WTL3,ATP synthase F1 subunit delta (Fragment),ATP5F1D,ATP5F1D,A0A087WTL3
53,A0A087WTM7,A0A087WTM7,Deleted.,,,A0A087WTM7
54,A0A087WTN3,A0A087WTN3,Deleted.,,,A0A087WTN3
55,A0A087WTP3,A0A087WTP3,Far upstream element-binding protein 2,KHSRP,KHSRP,A0A087WTP3
56,A0A087WTT1,A0A087WTT1,Polyadenylate-binding protein (PABP),PABPC1,PABPC1,A0A087WTT1
57,A0A087WTX2,A0A087WTX2,Deleted.,,,A0A087WTX2
58,A0A087WTX5,A0A087WTX5,Deleted.,,,A0A087WTX5
59,A0A087WTX8,A0A087WTX8,Secretory carrier-associated membrane protein 1 (Fragment),SCAMP1,SCAMP1,A0A087WTX8
60,A0A087WTZ2,A0A087WTZ2,Deleted.,,,A0A087WTZ2
61,A0A087WTZ4,A0A087WTZ4,TAR DNA-binding protein 43 (Fragment),TARDBP,TARDBP,A0A087WTZ4
62,A0A087WU02,A0A087WU02,Endoplasmic reticulum-Golgi intermediate compartment protein 2,ERGIC2,ERGIC2,A0A087WU02
63,A0A087WU07,A0A087WU07,MICOS complex subunit MIC10,MICOS10,MICOS10,A0A087WU07
64,A0A087WU31,A0A087WU31,Chloride channel protein,CLCN3,CLCN3,A0A087WU31
65,A0A087WU33,A0A087WU33,SRC kinase-signaling inhibitor 1 (Fragment),SRCIN1,SRCIN1,A0A087WU33
66,A0A087WU42,A0A087WU42,Deleted.,,,A0A087WU42
67,A0A087WU84,A0A087WU84,Deleted.,,,A0A087WU84
68,A0A087WUA5,A0A087WUA5,Deleted.,,,A0A087WUA5
69,A0A087WUC6,A0A087WUC6,Signal peptidase complex subunit 2,SPCS2,SPCS2,A0A087WUC6
70,Q6DD87,ZN787,Zinc finger protein 787 (TTF-I-interacting peptide 20),ZNF787,ZNF787,A0A087WUD1
71,A0A087WUD3,A0A087WUD3,Oligosaccharyltransferase complex subunit,OSTC,OSTC,A0A087WUD3
72,A0A087WUF3,A0A087WUF3,Mothers against decapentaplegic homolog 4 (Fragment),SMAD4,SMAD4,A0A087WUF3
73,A0A087WUF9,A0A087WUF9,Amino acid transporter,SLC1A7,SLC1A7,A0A087WUF9
74,A0A087WUI6,A0A087WUI6,Progesterone-induced-blocking factor 1,PIBF1,PIBF1,A0A087WUI6
75,A0A087WUK2,A0A087WUK2,"Heterogeneous nuclear ribonucleoprotein D-like (Heterogeneous nuclear ribonucleoprotein D-like, isoform CRA_b)",HNRNPDL HNRPDL hCG_22986,HNRNPDL,A0A087WUK2
76,A0A087WUM0,A0A087WUM0,Deleted.,,,A0A087WUM0
77,A0A087WUM2,A0A087WUM2,L-lactate dehydrogenase (EC 1.1.1.27),LDHAL6A,LDHAL6A,A0A087WUM2
78,A0A087WUQ6,A0A087WUQ6,Deleted.,,,A0A087WUQ6
79,A0A087WUR9,A0A087WUR9,Deleted.,,,A0A087WUR9
80,A0A087WUT6,A0A087WUT6,Eukaryotic translation initiation factor 5B (Translation initiation factor IF-2),EIF5B,EIF5B,A0A087WUT6
81,A0A087WUW9,A0A087WUW9,ADP-ribosylation factor-like protein 15,ARL15,ARL15,A0A087WUW9
82,A0A087WUX0,A0A087WUX0,Deleted.,,,A0A087WUX0
83,A0A087WUX8,A0A087WUX8,Deleted.,,,A0A087WUX8
84,A0A087WUZ3,A0A087WUZ3,Spectrin beta chain,SPTBN1,SPTBN1,A0A087WUZ3
85,A0A087WV05,A0A087WV05,Uncharacterized protein,,,A0A087WV05
86,A0A087WV23,A0A087WV23,Deleted.,,,A0A087WV23
87,A0A087WV26,A0A087WV26,Sjoegren syndrome nuclear autoantigen 1,SSNA1,SSNA1,A0A087WV26
88,A0A087WV47,A0A087WV47,Deleted.,,,A0A087WV47
89,A0A087WV48,A0A087WV48,Uncharacterized protein,,,A0A087WV48
90,A0A087WVA5,A0A087WVA5,Deleted.,,,A0A087WVA5
91,A0A087WVC2,A0A087WVC2,Ankyrin-3 (Fragment),ANK3,ANK3,A0A087WVC2
92,A0A087WVC4,A0A087WVC4,cAMP-dependent protein kinase (EC 2.7.11.11),PRKACB,PRKACB,A0A087WVC4
93,A0A087WVC6,A0A087WVC6,Protein-tyrosine-phosphatase (EC 3.1.3.48),PTPRJ,PTPRJ,A0A087WVC6
94,A0A087WVD3,A0A087WVD3,"Isovaleryl-CoA dehydrogenase, mitochondrial (Fragment)",IVD,IVD,A0A087WVD3
95,A0A087WVE9,A0A087WVE9,Aryl hydrocarbon receptor nuclear translocator 2,ARNT2,ARNT2,A0A087WVE9
96,A0A087WVF8,A0A087WVF8,Deleted.,,,A0A087WVF8
97,A0A087WVG2,A0A087WVG2,Deleted.,,,A0A087WVG2
98,A0A087WVL5,A0A087WVL5,Deleted.,,,A0A087WVL5
99,A0A087WVM4,A0A087WVM4,Formate--tetrahydrofolate ligase (EC 6.3.4.3),MTHFD1L,MTHFD1L,A0A087WVM4
100,A0A087WVM5,A0A087WVM5,Deleted.,,,A0A087WVM5
101,A0A087WVP4,A0A087WVP4,Smoothelin,SMTN,SMTN,A0A087WVP4
102,A0A087WVQ6,A0A087WVQ6,Clathrin heavy chain,CLTC hCG_1818599,CLTC,A0A087WVQ6
103,A0A087WVQ9,A0A087WVQ9,Elongation factor 1-alpha,EEF1A1,EEF1A1,A0A087WVQ9
104,A0A087WVS8,A0A087WVS8,MOB kinase activator 2,MOB2,MOB2,A0A087WVS8
105,A0A087WVT6,A0A087WVT6,Single-stranded DNA-binding protein 3,SSBP3,SSBP3,A0A087WVT6
106,A0A087WVU0,A0A087WVU0,Ragulator complex protein LAMTOR4,LAMTOR4,LAMTOR4,A0A087WVU0
107,A0A087WVU5,A0A087WVU5,Deleted.,,,A0A087WVU5
108,A0A087WVV2,A0A087WVV2,Ribosome-binding protein 1,RRBP1,RRBP1,A0A087WVV2
109,A0A087WVW2,A0A087WVW2,Deleted.,,,A0A087WVW2
110,A0A087WVW6,A0A087WVW6,Rap guanine nucleotide exchange factor-like 1,RAPGEFL1,RAPGEFL1,A0A087WVW6
111,A0A087WVZ0,A0A087WVZ0,Mitochondrial pyruvate carrier,MPC1,MPC1,A0A087WVZ0
112,A0A087WVZ9,A0A087WVZ9,DNA-directed RNA polymerase II subunit E (RPB5 homolog),POLR2E,POLR2E,A0A087WVZ9
113,A0A087WW23,A0A087WW23,Arachidonate 5-lipoxygenase-activating protein,ALOX5AP,ALOX5AP,A0A087WW23
114,A0A087WW46,A0A087WW46,Nodal modulator 1,NOMO1,NOMO1,A0A087WW46
115,A0A087WW66,A0A087WW66,26S proteasome non-ATPase regulatory subunit 1,PSMD1,PSMD1,A0A087WW66
116,A0A087WWB6,A0A087WWB6,Deleted.,,,A0A087WWB6
117,A0A087WWC4,A0A087WWC4,Nance-Horan syndrome protein,NHS,NHS,A0A087WWC4
118,A0A087WWC9,A0A087WWC9,Deleted.,,,A0A087WWC9
119,A0A087WWF1,A0A087WWF1,Selenoprotein M,SELENOM,SELENOM,A0A087WWF1
120,A0A087WWJ9,A0A087WWJ9,BRCA1-A complex subunit Abraxas 1 (Coiled-coil domain-containing protein 98) (Protein FAM175A) (Fragment),ABRAXAS1,ABRAXAS1,A0A087WWJ9
121,A0A087WWL9,A0A087WWL9,Deleted.,,,A0A087WWL9
122,A0A087WWM4,A0A087WWM4,GMP reductase (GMPR) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase),GMPR2 GMPR,GMPR2,A0A087WWM4
123,A0A087WWM6,A0A087WWM6,Proline dehydrogenase (EC 1.5.5.2),PRODH,PRODH,A0A087WWM6
124,A0A087WWP4,A0A087WWP4,RNA-binding protein 15,RBM15,RBM15,A0A087WWP4
125,A0A087WWP7,A0A087WWP7,Deleted.,,,A0A087WWP7
126,A0A087WWS1,A0A087WWS1,THO complex subunit 1,THOC1,THOC1,A0A087WWS1
127,A0A087WWS7,A0A087WWS7,Deleted.,,,A0A087WWS7
128,A0A087WWT0,A0A087WWT0,Junctophilin,JPH4,JPH4,A0A087WWT0
129,A0A087WWT2,A0A087WWT2,Neuritin,NRN1,NRN1,A0A087WWT2
130,A0A087WWU9,A0A087WWU9,"HCG2039564, isoform CRA_a (Signal recognition particle 19 kDa protein)",SRP19 hCG_2039564,SRP19,A0A087WWU9
131,A0A087WWY0,A0A087WWY0,Apolipoprotein(a),LPA,LPA,A0A087WWY0
132,A0A087WWY6,A0A087WWY6,Integrin-linked protein kinase (Fragment),ILK,ILK,A0A087WWY6
133,A0A087WWZ6,A0A087WWZ6,PR domain-containing protein 11,PRDM11,PRDM11,A0A087WWZ6
134,A0A087WX02,A0A087WX02,Selenoprotein W,SELENOW,SELENOW,A0A087WX02
135,A0A087WX15,A0A087WX15,Glutamate receptor-interacting protein 2,GRIP2,GRIP2,A0A087WX15
136,A0A087WX18,A0A087WX18,Deleted.,,,A0A087WX18
137,A0A087WX29,A0A087WX29,TAR DNA-binding protein 43 (Fragment),TARDBP,TARDBP,A0A087WX29
138,A0A087WX36,A0A087WX36,Deleted.,,,A0A087WX36
139,A0A087WX41,A0A087WX41,Clathrin heavy chain 2,CLTCL1,CLTCL1,A0A087WX41
140,A0A087WX97,A0A087WX97,Bcl-2-like protein 13,BCL2L13,BCL2L13,A0A087WX97
141,A0A087WX99,A0A087WX99,Cadherin-4,CDH4,CDH4,A0A087WX99
142,A0A087WXC5,A0A087WXC5,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,NDUFA10,A0A087WXC5
143,A0A087WXD1,A0A087WXD1,Sodium/hydrogen exchanger,SLC9A7,SLC9A7,A0A087WXD1
144,A0A087WXD9,A0A087WXD9,Girdin,CCDC88A,CCDC88A,A0A087WXD9
145,A0A087WXF6,A0A087WXF6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,NDUFS7,A0A087WXF6
146,A0A087WXI2,A0A087WXI2,IgGFc-binding protein,FCGBP,FCGBP,A0A087WXI2
147,A0A087WXK5,A0A087WXK5,ATP-binding cassette sub-family A member 2,ABCA2,ABCA2,A0A087WXK5
148,A0A087WXL6,A0A087WXL6,Vacuolar protein sorting-associated protein 11 homolog,VPS11 hCG_39399,VPS11,A0A087WXL6
149,A0A087WXL8,A0A087WXL8,Deleted.,,,A0A087WXL8
150,A0A087WXM6,A0A087WXM6,60S ribosomal protein L17 (Fragment),RPL17,RPL17,A0A087WXM6
151,A0A087WXM8,A0A087WXM8,Basal cell adhesion molecule,BCAM,BCAM,A0A087WXM8
152,A0A087WXN9,A0A087WXN9,Protein MTSS 2,MTSS2,MTSS2,A0A087WXN9
153,A0A087WXR2,A0A087WXR2,Deleted.,,,A0A087WXR2
154,A0A087WXS7,A0A087WXS7,Deleted.,,,A0A087WXS7
155,A0A087WXU0,A0A087WXU0,Required for meiotic nuclear division protein 1 homolog,RMND1,RMND1,A0A087WXU0
156,A0A087WXU3,A0A087WXU3,Extended synaptotagmin-2,ESYT2,ESYT2,A0A087WXU3
157,A0A087WXX2,A0A087WXX2,Fructose-bisphosphate aldolase (EC 4.1.2.13),ALDOB,ALDOB,A0A087WXX2
158,A0A087WXX8,A0A087WXX8,"Iron-sulfur subunit of complex II (EC 1.3.5.1) (Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial) (Fragment)",SDHB,SDHB,A0A087WXX8
159,A0A087WXX9,A0A087WXX9,5'-AMP-activated protein kinase catalytic subunit alpha-2 (EC 2.7.11.1) (EC 2.7.11.27) (EC 2.7.11.31) (Acetyl-CoA carboxylase kinase) (Hydroxymethylglutaryl-CoA reductase kinase),PRKAA2,PRKAA2,A0A087WXX9
160,A0A087WXZ7,A0A087WXZ7,HEAT repeat-containing protein 6,HEATR6,HEATR6,A0A087WXZ7
161,A0A087WY19,A0A087WY19,Deleted.,,,A0A087WY19
162,A0A087WY55,A0A087WY55,"Chromosome 6 open reading frame 55, isoform CRA_b (Vacuolar protein sorting-associated protein VTA1 homolog)",VTA1 C6orf55 hCG_18120,VTA1,A0A087WY55
163,A0A087WY88,A0A087WY88,Deleted.,,,A0A087WY88
164,A0A087WYA1,A0A087WYA1,Unconventional myosin-XV,MYO15A,MYO15A,A0A087WYA1
165,A0A087WYC5,A0A087WYC5,Deleted.,,,A0A087WYC5
166,A0A087WYE1,A0A087WYE1,Deleted.,,,A0A087WYE1
167,A0A087WYF1,A0A087WYF1,Laminin subunit alpha-2,LAMA2,LAMA2,A0A087WYF1
168,A0A087WYF6,A0A087WYF6,WASH complex subunit 2A,WASHC2A,WASHC2A,A0A087WYF6
169,A0A087WYF7,A0A087WYF7,MICOS complex subunit,APOOL,APOOL,A0A087WYF7
170,A0A087WYF8,A0A087WYF8,PDZ and LIM domain protein 3,PDLIM3,PDLIM3,A0A087WYF8
171,A0A087WYG2,A0A087WYG2,C-Jun-amino-terminal kinase-interacting protein 3,MAPK8IP3,MAPK8IP3,A0A087WYG2
172,A0A087WYJ0,A0A087WYJ0,Small conductance calcium-activated potassium channel protein 3,KCNN3,KCNN3,A0A087WYJ0
173,A0A087WYJ9,A0A087WYJ9,Deleted.,,,A0A087WYJ9
174,A0A087WYL5,A0A087WYL5,Seizure 6-like protein 2,SEZ6L2,SEZ6L2,A0A087WYL5
175,A0A087WYL9,A0A087WYL9,Deleted.,,,A0A087WYL9
176,A0A087WYM3,A0A087WYM3,NAD-dependent protein deacetylase sirtuin-2,SIRT2,SIRT2,A0A087WYM3
177,A0A087WYM7,A0A087WYM7,Deleted.,,,A0A087WYM7
178,A0A087WYN9,A0A087WYN9,ATP-dependent RNA helicase DHX29 (EC 3.6.4.13) (DEAH box protein 29),DHX29,DHX29,A0A087WYN9
179,A0A087WYQ5,A0A087WYQ5,Deleted.,,,A0A087WYQ5
180,A0A087WYR0,A0A087WYR0,Signal recognition particle 19 kDa protein,SRP19,SRP19,A0A087WYR0
181,A0A087WYR4,A0A087WYR4,Deleted.,,,A0A087WYR4
182,A0A087WYU1,A0A087WYU1,Deleted.,,,A0A087WYU1
183,A0A087WYU2,A0A087WYU2,Methyltransferase-like 26,METTL26,METTL26,A0A087WYU2
184,A0A087WYV8,A0A087WYV8,Deleted.,,,A0A087WYV8
185,A0A087WYX8,A0A087WYX8,FERM and PDZ domain-containing protein 4,FRMPD4,FRMPD4,A0A087WYX8
186,A0A087WZ13,A0A087WZ13,Ribonucleoprotein PTB-binding 1,RAVER1,RAVER1,A0A087WZ13
187,A0A087WZ32,A0A087WZ32,Pleckstrin homology domain-containing family A member 2,PLEKHA2,PLEKHA2,A0A087WZ32
188,A0A087WZ40,A0A087WZ40,Ensconsin,MAP7,MAP7,A0A087WZ40
189,A0A087WZ97,A0A087WZ97,Divergent protein kinase domain 1A,DIPK1A,DIPK1A,A0A087WZ97
190,A0A087WZA9,A0A087WZA9,Ion channel TACAN (Fragment),TMEM120A,TMEM120A,A0A087WZA9
191,A0A087WZE4,A0A087WZE4,Deleted.,,,A0A087WZE4
192,A0A087WZE9,A0A087WZE9,High mobility group nucleosome-binding domain-containing protein 3,HMGN3,HMGN3,A0A087WZE9
193,A0A087WZH7,A0A087WZH7,Deleted.,,,A0A087WZH7
194,A0A087WZK9,A0A087WZK9,Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3 gamma) (eIF3 p40 subunit),EIF3H EIF3S3,EIF3H,A0A087WZK9
195,A0A087WZL0,A0A087WZL0,Pleckstrin homology-like domain family B member 1 (Fragment),PHLDB1,PHLDB1,A0A087WZL0
196,A0A087WZP9,A0A087WZP9,Lck-interacting transmembrane adapter 1,LIME1,LIME1,A0A087WZP9
197,A0A087WZS0,A0A087WZS0,Ly-6/neurotoxin-like protein 1 (Fragment),LYNX1,LYNX1,A0A087WZS0
198,A0A087WZV9,A0A087WZV9,D-aminoacyl-tRNA deacylase (EC 3.1.1.96) (Fragment),,,A0A087WZV9
199,A0A087WZW8,A0A087WZW8,Deleted.,,,A0A087WZW8
200,A0A087WZX2,A0A087WZX2,Complex I-B17 (NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6) (NADH-ubiquinone oxidoreductase B17 subunit),NDUFB6,NDUFB6,A0A087WZX2
201,A0A087WZZ5,A0A087WZZ5,Deleted.,,,A0A087WZZ5
202,A0A087X020,A0A087X020,Ribosome maturation protein SBDS,SBDS,SBDS,A0A087X020
203,A0A087X021,A0A087X021,Hydroxymethylbilane hydrolyase [cyclizing] (EC 4.2.1.75) (Uroporphyrinogen-III cosynthase) (Fragment),UROS,UROS,A0A087X021
204,A0A087X079,A0A087X079,Deleted.,,,A0A087X079
205,A0A087X080,A0A087X080,Ryanodine receptor 3,RYR3,RYR3,A0A087X080
206,A0A087X091,A0A087X091,WD repeat-containing protein 13 (Fragment),WDR13,WDR13,A0A087X091
207,A0A087X0B7,A0A087X0B7,Synaptosomal-associated 47 kDa protein (Synaptosomal-associated protein 47),SNAP47,SNAP47,A0A087X0B7
208,A0A087X0C8,A0A087X0C8,Deleted.,,,A0A087X0C8
209,A0A087X0D5,A0A087X0D5,Pro-cathepsin H,CTSH,CTSH,A0A087X0D5
210,A0A087X0F3,A0A087X0F3,Integrator complex subunit 7 (Fragment),INTS7,INTS7,A0A087X0F3
211,A0A087X0G5,A0A087X0G5,Mastermind-like protein 2,MAML2,MAML2,A0A087X0G5
212,A0A087X0I4,A0A087X0I4,Deleted.,,,A0A087X0I4
213,A0A087X0I6,A0A087X0I6,Non-specific serine/threonine protein kinase (EC 2.7.11.1),MARK1,MARK1,A0A087X0I6
214,A0A087X0K4,A0A087X0K4,CUB and sushi domain-containing protein 2,CSMD2,CSMD2,A0A087X0K4
215,A0A087X0L8,A0A087X0L8,Deleted.,,,A0A087X0L8
216,A0A087X0M4,A0A087X0M4,Kanadaptin,SLC4A1AP,SLC4A1AP,A0A087X0M4
217,A0A087X0M8,A0A087X0M8,Neural cell adhesion molecule L1-like protein,CHL1,CHL1,A0A087X0M8
218,A0A087X0N5,A0A087X0N5,Deleted.,,,A0A087X0N5
219,A0A087X0P0,A0A087X0P0,Centromere-associated protein E,CENPE,CENPE,A0A087X0P0
220,A0A087X0P7,A0A087X0P7,Deleted.,,,A0A087X0P7
221,A0A087X0Q1,A0A087X0Q1,YTH domain-containing family protein 3,YTHDF3,YTHDF3,A0A087X0Q1
222,A0A087X0Q4,A0A087X0Q4,Deleted.,,,A0A087X0Q4
223,A0A087X0Q9,A0A087X0Q9,Selenoprotein O,SELENOO,SELENOO,A0A087X0Q9
224,A0A087X0R6,A0A087X0R6,Sorting nexin-12,SNX12,SNX12,A0A087X0R6
225,A0A087X0S5,A0A087X0S5,Collagen alpha-1(VI) chain (Fragment),COL6A1,COL6A1,A0A087X0S5
226,A0A087X0T2,A0A087X0T2,Carcinoembryonic antigen-related cell adhesion molecule 20,CEACAM20,CEACAM20,A0A087X0T2
227,A0A087X0T3,A0A087X0T3,Deleted.,,,A0A087X0T3
228,A0A087X0T8,A0A087X0T8,Cell adhesion molecule 1,CADM1,CADM1,A0A087X0T8
229,A0A087X0W7,A0A087X0W7,"Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT2,ACOT2,A0A087X0W7
230,A0A087X0W8,A0A087X0W8,Transcription factor p65,RELA,RELA,A0A087X0W8
231,A0A087X0W9,A0A087X0W9,Ubiquitinyl hydrolase 1 (EC 3.4.19.12),OTUD6B hCG_32310,OTUD6B,A0A087X0W9
232,A0A087X105,A0A087X105,Deleted.,,,A0A087X105
233,A0A087X106,A0A087X106,"Keratin, type II cuticular Hb1",KRT81,KRT81,A0A087X106
234,A0A087X159,A0A087X159,Single-stranded DNA-binding protein 2,SSBP2,SSBP2,A0A087X159
235,A0A087X163,A0A087X163,Ras-related protein Rab-18,RAB18,RAB18,A0A087X163
236,A0A087X173,A0A087X173,Adenosine receptor A1,ADORA1,ADORA1,A0A087X173
237,A0A087X1A5,A0A087X1A5,Deleted.,,,A0A087X1A5
238,A0A087X1B3,A0A087X1B3,Transmembrane protein 178B,TMEM178B,TMEM178B,A0A087X1B3
239,A0A087X1D7,A0A087X1D7,Gametogenetin-binding protein 2 (Protein ZNF403) (Fragment),GGNBP2,GGNBP2,A0A087X1D7
240,A0A087X1E1,A0A087X1E1,Collagen alpha-1(XXV) chain,COL25A1,COL25A1,A0A087X1E1
